name,facility_type,prefecture,city,address,postal_code,latitude,longitude,osm_type,osm_id,website
丸山運動公園陸上競技場,陸上競技場・トラック,北海道,,,,43.5828953,142.4749125,node,9090406780,
共用グラウンド／旭川市東部スケートリンク,陸上競技場・トラック,北海道,,,,43.7599151,142.3890806,way,93203765,https://www.asahikawa-dpc.co.jp/13toubu/toubuindex.html
函館市千代台公園陸上競技場,陸上競技場・トラック,北海道,函館市,函館市 22 24,,41.7862782,140.7451726,way,150386779,zaidan-hakodate.com
平和運動公園陸上競技場,陸上競技場・トラック,北海道,,,,43.0182629,141.9805714,way,156484690,
東山公園陸上競技場,陸上競技場・トラック,北海道,,,,43.1933798,141.7787346,way,183357850,
多目的グラウンド,陸上競技場・トラック,北海道,,,,43.1871376,141.7819335,way,184097315,
倶知安中学校 グラウンド,陸上競技場・トラック,北海道,,,,42.907353,140.7503483,way,196968587,
グラウンド,陸上競技場・トラック,北海道,,,,43.0205146,144.3961772,way,209167931,
陸上競技場,陸上競技場・トラック,北海道,,,,42.8602773,140.8723461,way,226197731,
厚沢部小学校グラウンド,陸上競技場・トラック,北海道,,,,41.9189618,140.2256651,way,240888995,
陸上競技場,陸上競技場・トラック,北海道,,,,41.8477092,140.1332553,way,251595307,
帯広の森陸上競技場,陸上競技場・トラック,北海道,,,,42.8941975,143.1452221,way,265205028,
グラウンド,陸上競技場・トラック,北海道,,,,43.775411,142.460641,way,477488204,
運動場,陸上競技場・トラック,北海道,,,,43.7434327,142.3173051,way,477693038,
柏ヶ丘公園陸上競技場,陸上競技場・トラック,北海道,,,,43.8188103,144.0963038,way,483706736,
網走スポーツトレーニングフィールド・サッカー場,陸上競技場・トラック,北海道,,,,43.9667025,144.2065303,way,488302077,
網走スポーツトレーニングフィールド・ラグビー場,陸上競技場・トラック,北海道,,,,43.9675061,144.2047701,way,488302079,
網走スポーツトレーニングフィールド多目的芝生広場,陸上競技場・トラック,北海道,,,,43.9623608,144.2074476,way,488302087,https://www.ok-abashiri.com/sports_feild.html
深川市陸上競技場,陸上競技場・トラック,北海道,,,,43.7232955,142.0670123,way,502659320,
旭川小中学校 グラウンド,陸上競技場・トラック,北海道,,,,43.769493,142.4405112,way,504398933,
ゲートボール場,陸上競技場・トラック,北海道,,,,43.7985549,143.9094273,way,507679695,
ゲートボール場,陸上競技場・トラック,北海道,,,,43.8252023,144.0890743,way,507990069,
登別市営陸上競技場,陸上競技場・トラック,北海道,,,,42.4177385,141.1104271,way,525072182,
グラウンド,陸上競技場・トラック,北海道,,,,43.0175898,144.2612828,way,542332942,
函館高専総合グラウンド,陸上競技場・トラック,北海道,,,,41.783078,140.8010896,way,578927916,
補助競技場,陸上競技場・トラック,北海道,,,,43.0518902,141.3007745,way,598412716,
運動公園内陸上競技場,陸上競技場・トラック,北海道,,,,42.9751952,140.5322136,way,598769526,
芝生広場,陸上競技場・トラック,北海道,,,,44.042839,143.5181031,way,617732906,
Bコート,陸上競技場・トラック,北海道,,,,44.0438839,143.518724,way,617732907,
Aコート,陸上競技場・トラック,北海道,,,,44.0441883,143.5177228,way,617732908,
東陵公園陸上競技場,陸上競技場・トラック,北海道,,,,43.8193561,143.8988466,way,653496902,
砂川市営競技場,陸上競技場・トラック,北海道,,,,43.4777193,141.9094286,way,678333442,
浦河町総合グラウンド,陸上競技場・トラック,北海道,,,,42.1793944,142.7590816,way,682835806,
町民グラウンド,陸上競技場・トラック,北海道,,,,42.5839114,140.7133364,way,701661944,
阿寒町多目的広場,陸上競技場・トラック,北海道,,,,43.1138589,144.1200022,way,785109831,
多目的フィールド,陸上競技場・トラック,北海道,,,,43.1875878,141.7794634,way,826371981,
栗原学園グラウンド,陸上競技場・トラック,北海道,,,,43.7978947,143.8873729,way,975669749,
網走市営陸上競技場,陸上競技場・トラック,北海道,網走市,網走市 1丁目,093-0035,44.0051611,144.2698967,way,1111798426,
阿寒町多種目競技広場,陸上競技場・トラック,北海道,,,,43.1114707,144.1211474,way,1301975103,
ふれあい広場グラウンド,陸上競技場・トラック,北海道,,,,42.5207726,142.0326448,way,1378274548,
陸上競技場,陸上競技場・トラック,北海道,,,,43.0798721,141.3336575,relation,12379448,
中標津町運動公園 スピードスケート場/アイスホッケー場,陸上競技場・トラック,北海道,,,,43.5435265,144.9543053,relation,16458594,
三笠市営陸上競技場,陸上競技場・トラック,北海道,,,,43.2470915,141.8889568,relation,19684150,
宮園公園スケートリンク,陸上競技場・トラック,北海道,,,,43.0685304,144.8236364,relation,19765775,
苫小牧緑ヶ丘公園陸上競技場,陸上競技場・トラック,北海道,,,,42.6556779,141.5950899,relation,19984592,
市営陸上競技場,陸上競技場・トラック,青森県,,,,40.6098189,141.2058952,node,2392380611,
陸上競技場,陸上競技場・トラック,青森県,,,,40.6694368,140.5937897,way,110681708,
ひばり野陸上競技場,陸上競技場・トラック,青森県,,,,40.5108019,141.3320816,way,111137994,
サンドーム,陸上競技場・トラック,青森県,,,,40.7983167,140.7522745,way,345282551,
ふるさと運動公園陸上競技場,陸上競技場・トラック,青森県,,,,40.4254366,141.3303778,way,349994985,
青森県立八戸工業高等学校屋内総合運動場,競技場,青森県,,,,40.5160555,141.4988865,way,360726645,
弘前市運動公園陸上競技場,陸上競技場・トラック,青森県,,,,40.5905675,140.5050937,way,445082886,
Red Top Track,陸上競技場・トラック,青森県,,,,40.6956995,141.3541977,way,454616491,
八戸市東陸上競技場,陸上競技場・トラック,青森県,,,,40.503258,141.5441232,way,554170299,
八戸東高校 第２グラウンド,陸上競技場・トラック,青森県,,,,40.5042442,141.5048342,way,554218823,
南郷陸上競技場,陸上競技場・トラック,青森県,,,,40.4067023,141.4321357,way,556254785,
青森総合運動公園陸上競技場,陸上競技場・トラック,青森県,,,,40.8064592,140.7079125,way,651488709,
陸上競技場,陸上競技場・トラック,青森県,,,,40.5836848,140.577839,way,753599430,
カクヒログループ アスレチックスタジアム,競技場,青森県,青森市,青森市 22 2,039-3505,40.8389976,140.8413829,way,834087572,http://www.sport-aoimori.jp/new_athletic_park/track_field.html
平内町営陸上競技場,陸上競技場・トラック,青森県,,,,40.9251378,140.9512127,way,1304973275,
弘前公園 レクリエーション広場,陸上競技場・トラック,青森県,,,,40.610863,140.4677166,relation,17269034,
陸上競技場,陸上競技場・トラック,岩手県,,,,38.9189079,141.1248713,node,4763297013,
陸上競技場,陸上競技場・トラック,岩手県,,,,39.7388089,141.1210823,way,51806168,
陸上トラック,陸上競技場・トラック,岩手県,,,,39.6848374,141.112958,way,374551743,
陸上競技場,陸上競技場・トラック,岩手県,,,,40.2016934,141.2924285,way,426305033,
盛岡市渋民運動公園陸上競技場,陸上競技場・トラック,岩手県,,,,39.8511721,141.1671281,way,585161933,
金ケ崎町森山総合公園 陸上競技場,陸上競技場・トラック,岩手県,,,,39.210214,141.0925115,way,620654179,
北上第1運動場 (投てき場),陸上競技場・トラック,岩手県,,,,39.2575358,141.0935259,way,675485275,
旧貝沢小学校グラウンド,陸上競技場・トラック,岩手県,,,,39.5479811,140.8440715,way,741748741,
サンディスクスタジアムきたかみ (北上陸上競技場),陸上競技場・トラック,岩手県,北上市,北上市,,39.2581444,141.0959764,way,1321827614,
北上補助陸上競技場,陸上競技場・トラック,岩手県,,,,39.2582557,141.0980315,way,1321827670,
北上市民岩崎陸上競技場,陸上競技場・トラック,岩手県,北上市,北上市 18地割,,39.2804205,141.0424115,way,1528982513,
