name,prefecture,city,website_url,latitude,longitude,source,source_id,wikipedia_title,discontinued
"""さがえ""さくらんぼマラソン大会",山形県,,,,,wikipedia,,"""さがえ""さくらんぼマラソン大会",0
2019年のマラソングランドチャンピオンシップ,東京都,,,,,wikipedia,Q111395666,2019年のマラソングランドチャンピオンシップ,0
2023年のマラソングランドチャンピオンシップ,東京都,,,,,wikipedia,,2023年のマラソングランドチャンピオンシップ,0
ABC万国博マラソン,大阪府,,,,,wikipedia,Q11188800,ABC万国博マラソン,0
FUKUIスーパーレディス駅伝,福井県,,,,,wikipedia,Q11199846,FUKUIスーパーレディス駅伝,1
KIX泉州国際マラソン,大阪府,,,,,wikipedia,Q11554811,KIX泉州国際マラソン,0
NAHAマラソン,沖縄県,,http://www.naha-marathon.jp/,26.204451,127.676189,wikipedia,Q11234342,NAHAマラソン,0
「晴れの国 岡山」駅伝競走大会,岡山県,,,,,wikipedia,Q11256352,「晴れの国 岡山」駅伝競走大会,0
いしのまき復興マラソン,宮城県,,,,,wikipedia,Q21652442,いしのまき復興マラソン,0
いっちゃん!リレーマラソン,富山県,,,,,wikipedia,Q30936394,いっちゃん!リレーマラソン,0
いびがわマラソン,岐阜県,,,,,wikipedia,Q11259947,いびがわマラソン,0
いわきサンシャインマラソン,福島県,,,,,wikipedia,Q20043189,いわきサンシャインマラソン,0
おおがきマラソン,岐阜県,,,,,wikipedia,,おおがきマラソン,0
おかやまマラソン,岡山県,,,,,wikipedia,Q20043493,おかやまマラソン,0
おきなわマラソン,沖縄県,,,,,wikipedia,Q11261440,おきなわマラソン,0
かかみがはらシティマラソン,岐阜県,,,,,wikipedia,Q11263582,かかみがはらシティマラソン,0
かすみがうらマラソン,茨城県,,,,,wikipedia,Q17223971,かすみがうらマラソン,0
ぎふ元旦マラソン大会,岐阜県,,,,,wikipedia,Q11265260,ぎふ元旦マラソン大会,0
ぎふ新春マラソン,岐阜県,,,,,wikipedia,Q11265264,ぎふ新春マラソン,0
ぎふ長良川マラソン,岐阜県,,,,,wikipedia,Q11265267,ぎふ長良川マラソン,0
ぎふ鵜飼マラソン・ウォーキング大会,岐阜県,,,,,wikipedia,Q11265268,ぎふ鵜飼マラソン・ウォーキング大会,0
さいたま国際マラソン,埼玉県,,,,,wikipedia,Q21935543,さいたま国際マラソン,1
さが桜マラソン,佐賀県,,,,,wikipedia,Q22129022,さが桜マラソン,0
しずおか市町対抗駅伝,静岡県,,,,,wikipedia,Q11268830,しずおか市町対抗駅伝,0
つくばマラソン,茨城県,,,,,wikipedia,Q11272236,つくばマラソン,0
とくしまマラソン,徳島県,,,,,wikipedia,Q11273089,とくしまマラソン,0
なよろ憲法記念ハーフマラソン大会,北海道,,,,,wikipedia,Q24871572,なよろ憲法記念ハーフマラソン大会,0
はまなす車いすマラソン,北海道,,,,,wikipedia,Q11275766,はまなす車いすマラソン,0
